Entity,Code,Year,respiratory_infections
Taiwan,TWN,2017,13114.76359
Tajikistan,TJK,2017,4901.968215
Tanzania,TZA,2017,33485.51924
Thailand,THA,2017,36187.5784
Timor,TLS,2017,479.3209313
Togo,TGO,2017,3741.703844
Tonga,TON,2017,37.10064747
Trinidad and Tobago,TTO,2017,313.6417792
Tunisia,TUN,2017,1650.136675
Turkey,TUR,2017,11029.39696
Turkmenistan,TKM,2017,1205.790928
Uganda,UGA,2017,14830.62302
Ukraine,UKR,2017,9215.055512
United Arab Emirates,ARE,2017,585.7143479
United Kingdom,GBR,2017,36951.8554
United States,USA,2017,93791.66067
United States Virgin Islands,VIR,2017,32.22621674
Uruguay,URY,2017,1476.244907
Uzbekistan,UZB,2017,9748.549809
Vanuatu,VUT,2017,119.696814
Venezuela,VEN,2017,5184.285434
Vietnam,VNM,2017,18136.84387
World,OWID_WRL,2017,2558606.074
Yemen,YEM,2017,6365.552514
Zambia,ZMB,2017,8979.435304
Zimbabwe,ZWE,2017,12369.6547
